"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-71291","Metabolism of amino acids and derivatives","106/2241","249/8772",2.20623045495775e-09,2.29889213406597e-06,2.11333654106479e-06,"Gamt/Ftcd/Psat1/Glud1/Tat/Agxt2/Ethe1/Mat1a/Gstz1/Agmat/Slc6a8/Iyd/Aass/Shmt1/Aadat/Serinc5/Slc25a12/Aldh7a1/Cdo1/Cps1/Sqor/Aldh9a1/Bbox1/Pah/Kynu/Sephs2/Mtap/Azin2/Otc/Kmo/Tst/Gpt2/Pcbd1/Dmgdh/Pipox/Asl/Agxt/Mpst/Amdhd1/Psme1/Gpt/Rida/Odc1/Nags/Bhmt2/Slc25a21/Serinc2/Grhpr/Psmb9/Tdo2/Psmb8/Aldh6a1/Mccc2/Cth/Hgd/Phykpl/Acat1/Nqo1/Slc25a13/Kyat1/Gcat/Aldh4a1/Psmb10/Qdpr/Slc44a1/Suox/Phgdh/Slc25a15/Aspa/Slc7a5/Azin1/Mri1/Hal/Got1/Acadsb/Crym/Ckb/Pycrl/Cbs/Mtr/Chdh/Dio3/Bhmt/Hykk/Dbh/Sardh/Gldc/Slc25a10/Gls2/Gatm/Auh/Gls/Gnmt/Hpd/Hoga1/Hibch/Psph/Prodh/Oaz2/Ddc/Arg2/Amt/Asns/Oat/Dio1/Hao1",106
"R-MMU-8957322","Metabolism of steroids","61/2241","125/8772",1.54647735227951e-08,8.05714700537623e-06,7.40681258197027e-06,"Akr1c20/Hsd11b2/Akr1c14/Abcc3/Slc10a2/Akr1c19/Vdr/Cyp7b1/Baat/Akr1c18/Tm7sf2/Dhcr7/Sqle/Lss/Slc27a2/Dhcr24/Akr1c6/Fdft1/Msmo1/Hmgcs1/Osbpl1a/Cyp27a1/Ebp/Mvk/Acat2/Scp2/Fdps/Cyp51/Fdx1/Hsd17b2/Hsd17b7/Stard5/Mvd/Stard6/Hsd3b3/Srd5a3/Slc10a1/Stard4/Pmvk/Nsdhl/Abcb11/Ncoa1/Slc27a5/Srebf1/Srd5a1/Scap/Hsd17b12/Cyp39a1/Lbr/Osbp/Srd5a2/Slco1b2/Hsd11b1/Cyp8b1/Cyp17a1/Hsd3b7/Sc5d/Cyp2r1/Srebf2/Cyp21a1/Tspo",61
"R-MMU-191273","Cholesterol biosynthesis","19/2241","25/8772",1.75938777029171e-07,6.11094018881319e-05,5.6176942840893e-05,"Tm7sf2/Dhcr7/Sqle/Lss/Dhcr24/Fdft1/Msmo1/Hmgcs1/Ebp/Mvk/Acat2/Fdps/Cyp51/Hsd17b7/Mvd/Pmvk/Nsdhl/Lbr/Sc5d",19
"R-MMU-156580","Phase II - Conjugation of compounds","44/2241","88/8772",6.57396625522371e-07,0.000140683363370677,0.000129328074216906,"Gclc/Ugt2b35/Gss/Gsto1/Ugt2b34/Gstm7/Gsta3/Mgst3/Glyat/Mat1a/Gstz1/Ugt2b1/Gstt1/Slc35d1/Slc26a1/Mgst1/Acsm5/Chac1/Gstp1/Oplah/Ugdh/Gstm2/Ggt6/Acsm1/Ggt7/Gstt2/Slc26a2/Comt/Tpst1/Tpmt/Ugp2/Sult1b1/Papss1/Ugt2a3/As3mt/Gstm4/Gstk1/Nnmt/Sult1c2/Ugt3a1/Mtr/Ugt3a2/Gstm5/Ggct",44
"R-MMU-211859","Biological oxidations","83/2241","202/8772",7.52179247770328e-07,0.000140683363370677,0.000129328074216906,"Gclc/Ugt2b35/Gss/Gsto1/Fmo1/Ugt2b34/Gstm7/Gsta3/Mgst3/Glyat/Cyp2a12/Mat1a/Gstz1/Marc1/Cyp7b1/Aldh1a1/Fmo2/Ptgs1/Aadac/Ugt2b1/Gstt1/Cyp4f14/Maob/Adh4/Slc35d1/Slc26a1/Mgst1/Ephx1/Cyp27a1/Acsm5/Chac1/Gstp1/Cyp3a13/Arnt/Marc2/Adh1/Oplah/Cyp51/Fdx1/Ugdh/Bphl/Gstm2/Ggt6/Ces1d/Acsm1/Ggt7/Cyp2f2/Gstt2/Slc26a2/Comt/Tpst1/Cyp2b23/Tpmt/Ugp2/Sult1b1/Papss1/Cyp4b1/Ugt2a3/As3mt/Cyp3a11/Ncoa1/Gstm4/Gstk1/Nnmt/Sult1c2/Cyp39a1/Ugt3a1/Cyp2j6/Mtr/Ugt3a2/Gstm5/Cyp4a31/Cbr3/Cyp4a12b/Cyp8b1/Maoa/Ggct/Cyp4a12a/Cyp2s1/Cyp2r1/Cyp21a1/Ahr/Cmbl",83
"R-MMU-8978868","Fatty acid metabolism","72/2241","169/8772",8.10076948391612e-07,0.000140683363370677,0.000129328074216906,"Ptgs2/Acsbg1/Pla2g4a/Mid1ip1/Pccb/Slc27a2/Ptgs1/Dbi/Phyh/Acsl1/Acot2/Akr1c6/Cyp4f14/Acot12/Elovl6/Pon1/Thrsp/Scd2/Gpx4/Scp2/Acadm/Acaa2/Fads1/Acad11/Fads2/Pecr/Elovl7/Cpt1a/Acsf3/Acsl5/H2-Ke6/Acot9/Hacl1/Alox5/Aldh3a2/Decr2/Acad10/Acot4/Crot/Ephx2/Hadh/Decr1/Pcca/Ehhadh/Eci1/Cyp4b1/Acsl4/Prkaa2/Morc2a/Mlycd/Hacd4/Acadl/Eci2/Hsd17b12/Acsl6/Elovl2/Abcd1/Acacb/Cyp2j6/Nudt19/Scd1/Gpx2/Cyp4a31/Cyp4a12b/Cyp8b1/Mecr/Hacd1/Cyp4a12a/Cbr1/Acot1/Them5/Acot6",72
"R-MMU-156590","Glutathione conjugation","20/2241","31/8772",5.37768044924881e-06,0.000800506146873894,0.000735893114107731,"Gclc/Gss/Gsto1/Gstm7/Gsta3/Mgst3/Gstz1/Gstt1/Mgst1/Chac1/Gstp1/Oplah/Gstm2/Ggt6/Ggt7/Gstt2/Gstm4/Gstk1/Gstm5/Ggct",20
"R-MMU-140877","Formation of Fibrin Clot (Clotting Cascade)","22/2241","36/8772",6.6888350027275e-06,0.000871220759105258,0.000800899980589741,"F13a1/Fga/Serpind1/Kng2/F12/F10/F8/F9/Fgg/F7/Thbd/Fgb/F13b/Procr/Proc/F2/Serpinc1/Serping1/F11/F5/Serpina5/A2m",22
"R-MMU-196854","Metabolism of vitamins and cofactors","73/2241","182/8772",9.6494887768593e-06,0.00110899956206744,0.00101948641426545,"Akr1c20/Sdc3/Akr1c14/Vnn1/Gsto1/Ptgs2/Akr1c19/Slc23a2/Parp8/Akr1c18/Enpp1/Mocos/Shmt1/Pccb/Apoa2/Tpk1/Cd38/Cyb5a/Akr1c6/Naprt/Slc46a1/Ttpa/Rbp1/Lrp12/Nt5e/Apoa1/Aldh1l1/Gpc2/Apom/Slc52a3/Vkorc1/Mthfd2/Lrp1/Sdc4/Rbp4/Nudt12/Apoc3/Gch1/Parp6/Gphn/Bco1/Mccc2/Mthfd2l/Idh1/Gpc4/Mthfd1/Naxe/Slc23a1/Dhfr/Pcca/Mmab/Qprt/Aldh1l2/Nampt/Parp14/Bco2/Calm2/Nnmt/Rfk/Nadk2/Acacb/Acp5/Mtr/Mthfr/Cyp8b1/Cd320/Pdss1/Plb1/Btd/Gpc1/Hspg2/Aox1/Pnpo",73
"R-MMU-174824","Plasma lipoprotein assembly, remodeling, and clearance","30/2241","57/8772",1.06429900390349e-05,0.00110899956206744,0.00101948641426545,"Angptl3/Nr1h3/Apoa2/Abca1/Mttp/Bmp1/Angptl8/Abcg1/Furin/Ldlrap1/Apoa1/Pcsk6/Pcsk9/Lcat/Scarb1/Lipc/Soat2/Ldlr/Apoc3/Apoc1/Pcsk5/Lipa/Plg/Ap2a2/Npc1/Soat1/Pltp/Mylip/A2m/Apoa5",30
