"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-8957322","Metabolism of steroids","61/2175","125/8772",4.55505489760112e-09,4.72359192881236e-06,4.30572557689032e-06,"Akr1c20/Hsd11b2/Akr1c14/Akr1c19/Slc10a2/Vdr/Abcc3/Akr1c18/Cyp7b1/Lss/Osbpl1a/Dhcr7/Baat/Sqle/Slc27a2/Tm7sf2/Cyp21a1/Mvk/Dhcr24/Ebp/Hsd3b7/Cyp51/Stard4/Fdft1/Scp2/Cyp27a1/Msmo1/Hmgcs1/Akr1c6/Hsd17b2/Srd5a2/Osbp/Mvd/Fdps/Fdx1/Scap/Hsd17b7/Hsd3b3/Hsd17b12/Slc10a1/Stard5/Acat2/Cyp39a1/Abcb11/Nsdhl/Ncoa1/Osbpl3/Slco1b2/Lbr/Srd5a1/Pmvk/Srd5a3/Slc27a5/Tspo/Srebf1/Stard6/Cyp2r1/Akr1b8/Hsd11b1/Cyp17a1/Cyp8b1",61
"R-MMU-71291","Metabolism of amino acids and derivatives","100/2175","249/8772",4.36397779980559e-08,2.2627224891992e-05,2.06255371801338e-05,"Psat1/Gamt/Tat/Ftcd/Serinc5/Slc6a8/Ethe1/Shmt1/Glud1/Mat1a/Aass/Slc25a12/Agxt2/Iyd/Gstz1/Agmat/Cth/Pah/Aadat/Tst/Bbox1/Cps1/Agxt/Mtap/Mccc2/Dmgdh/Slc44a1/Gpt2/Cdo1/Slc7a5/Azin2/Phgdh/Kynu/Rida/Serinc2/Aldh7a1/Azin1/Gpt/Pcbd1/Aldh9a1/Kyat1/Sqor/Dio3/Asl/Bhmt2/Pipox/Slc25a15/Otc/Suox/Phykpl/Amdhd1/Acadsb/Gls2/Aspa/Psph/Kmo/Hoga1/Slc25a13/Tdo2/Qdpr/Nqo1/Sephs2/Mpst/Auh/Hgd/Asns/Gldc/Sardh/Gnmt/Aldh6a1/Dbh/Bhmt/Hibch/Crym/Odc1/Ckb/Grhpr/Mri1/Aldh4a1/Psme1/Cbs/Nags/Oat/Hykk/Acat1/Amt/Psmb8/Slc25a21/Gcat/Hal/Got1/Dio1/Mtr/Pycrl/Slc25a10/Psmb9/Chdh/Psmb10/Hpd/Gatm",100
"R-MMU-8978868","Fatty acid metabolism","72/2175","169/8772",2.3549474272351e-07,8.140268273476e-05,7.42015013914779e-05,"Mid1ip1/Acsbg1/Cyp4f14/Ptgs2/Pccb/Acot2/Elovl6/Scd2/Slc27a2/Pla2g4a/Fads1/Dbi/Acsl1/Cpt1a/Hacd4/Acot9/Thrsp/Scp2/Hacl1/Phyh/Abcd1/Ptgs1/Akr1c6/Acaa2/Acot4/Crot/Fads2/Nudt19/Pecr/Acot12/Pcca/Acadm/Elovl7/Eci2/Acad10/Gpx4/Acsl5/Acsl4/Acsf3/Hsd17b12/Decr1/Aldh3a2/Cyp4f15/Gpx2/Mlycd/Acad11/Acacb/Decr2/Hacd1/Hadh/Ehhadh/Acsl6/H2-Ke6/Acot1/Acot6/Them5/Prkaa2/Cyp2j6/Ephx2/Acadl/Alox5/Mecr/Morc2a/Cyp4b1/Scd1/Cyp4a31/Pon1/Cyp4a12a/Cyp4a12b/Eci1/Cyp8b1/Cbr1",72
"R-MMU-156580","Phase II - Conjugation of compounds","43/2175","88/8772",8.17764037688801e-07,0.000155763233681676,0.000141983843928483,"Gsto1/Ugt2b35/Gstm7/Gss/Gclc/Ugt2b34/Glyat/Gsta3/Mgst3/Mat1a/Gstz1/Gstt1/Slc26a1/Chac1/Slc35d1/Ggt7/Gstp1/Ugt2b1/Acsm5/Mgst1/Tpst1/As3mt/Gstm2/Gstt2/Ggt6/Comt/Sult1c2/Oplah/Ugdh/Acsm1/Gstm5/Gstm4/Papss1/Ugp2/Tpmt/Nnmt/Gstk1/Slc26a2/Sult1b1/Ugt2a3/Mtr/Ugt3a1/Ugt3a2",43
"R-MMU-191273","Cholesterol biosynthesis","18/2175","25/8772",8.93978148867076e-07,0.000155763233681676,0.000141983843928483,"Lss/Dhcr7/Sqle/Tm7sf2/Mvk/Dhcr24/Ebp/Cyp51/Fdft1/Msmo1/Hmgcs1/Mvd/Fdps/Hsd17b7/Acat2/Nsdhl/Lbr/Pmvk",18
"R-MMU-211859","Biological oxidations","81/2175","202/8772",9.01233753220885e-07,0.000155763233681676,0.000141983843928483,"Gsto1/Ugt2b35/Fmo1/Gstm7/Gss/Gclc/Ugt2b34/Cyp4f14/Fmo2/Glyat/Gsta3/Mgst3/Mat1a/Cyp7b1/Gstz1/Gstt1/Slc26a1/Aldh1a1/Marc1/Chac1/Cyp2a12/Ces1d/Slc35d1/Aadac/Ggt7/Ephx1/Gstp1/Cyp21a1/Ugt2b1/Acsm5/Marc2/Mgst1/Arnt/Cyp51/Tpst1/Cyp27a1/Bphl/Cyp2f2/As3mt/Gstm2/Adh4/Adh1/Cyp3a13/Ptgs1/Gstt2/Ggt6/Comt/Sult1c2/Fdx1/Oplah/Ugdh/Cyp2b23/Maob/Cyp4f15/Acsm1/Cyp39a1/Maoa/Gstm5/Ncoa1/Gstm4/Papss1/Ugp2/Cyp3a11/Tpmt/Nnmt/Gstk1/Slc26a2/Cyp2j6/Sult1b1/Cyp2r1/Cyp4b1/Ugt2a3/Mtr/Cyp4a31/Cbr3/Cyp2s1/Cyp4a12a/Cyp4a12b/Ugt3a1/Ugt3a2/Cyp8b1",81
"R-MMU-140877","Formation of Fibrin Clot (Clotting Cascade)","22/2175","36/8772",3.93895587765588e-06,0.000583528177875592,0.000531907124531575,"Fga/F11/F13a1/Thbd/Serpind1/F8/Kng2/F10/Fgg/Serpina5/Fgb/F9/F7/Procr/F13b/F12/Proc/Serping1/F2/Serpinc1/A2m/Tfpi",22
"R-MMU-156590","Glutathione conjugation","19/2175","31/8772",1.71325638145099e-05,0.00216616669021451,0.00197453960088579,"Gsto1/Gstm7/Gss/Gclc/Gsta3/Mgst3/Gstz1/Gstt1/Chac1/Ggt7/Gstp1/Mgst1/Gstm2/Gstt2/Ggt6/Oplah/Gstm5/Gstm4/Gstk1",19
"R-MMU-174824","Plasma lipoprotein assembly, remodeling, and clearance","29/2175","57/8772",1.87999037723535e-05,0.00216616669021451,0.00197453960088579,"Angptl3/Nr1h3/Abca1/Angptl8/Bmp1/Abcg1/Furin/Ldlrap1/Ap2a2/Scarb1/Apoa2/Pcsk6/Ldlr/Lipc/Mttp/Pcsk9/Pcsk5/Apoa1/Soat2/Lcat/Apoc1/Npc1/Apoc3/Lipa/Plg/Soat1/A2m/Pltp/Mylip",29
"R-MMU-194068","Bile acid and bile salt metabolism","24/2175","44/8772",2.19723450605239e-05,0.00227853218277633,0.00207696482782637,"Akr1c20/Akr1c14/Akr1c19/Slc10a2/Abcc3/Akr1c18/Cyp7b1/Osbpl1a/Baat/Slc27a2/Hsd3b7/Scp2/Cyp27a1/Akr1c6/Osbp/Slc10a1/Stard5/Cyp39a1/Abcb11/Ncoa1/Osbpl3/Slco1b2/Slc27a5/Cyp8b1",24
