"","Cav1.TGFB1","Cav1.TGFB2","Cav1.TGFB3","Cav1.Ctrl1","Cav1.Ctrl2","Cav1.Ctrl3","Con1.TGFB1","Con1.TGFB2","Con1.TGFB3","Con1.Ctrl1","Con1.Ctrl2","Con1.Ctrl3"
"Apela",5.14952522269423,5.07230026590704,4.79836812252928,6.34712224683295,6.37559595415595,7.38883227113591,4.6354542764832,5.16765012659304,4.59092652548675,5.79331381279533,6.14131101582199,5.5837204199608
"Gm10768",5.5488938342904,5.79376538947821,5.70260436771798,7.06634535476688,6.62419085054996,7.30478577000796,5.55540179787034,6.09005130489756,5.93165612951644,6.66114563489451,6.96923338710279,7.07126696039846
"Mirt2",6.37403780671108,6.29021720579961,6.07587066168728,7.53031049165635,7.2540719393831,7.55884090722802,6.53595875956614,6.27792458976643,6.33391048862013,6.99626373700678,6.73410680705166,6.65079236851983
"Ildr2",7.83482488885432,7.50313744369075,7.39465657789093,8.84604084520636,8.92824813267174,8.74137972176512,8.09710026222577,7.93571698138613,7.93346982558025,9.50851855117903,9.77632542374997,9.61620359171244
"Mfsd4b3-ps",8.14688029552679,8.04353513091558,7.83711039334091,9.01644201414673,9.05305409864346,9.0295544683137,8.35312418456613,8.40201117069605,8.0729476458106,9.05184653553933,9.00835548830739,8.87129595878516
"Morrbid",8.16856605529575,8.47533863689466,8.68399283455006,6.87222110038715,6.5488557026701,7.52189574686663,7.73539296417184,8.24079639236306,8.34186383671085,6.37705315393053,6.52474466726716,7.0791379401452
"Camta1",7.46535480963863,7.95036434763867,8.21424968330978,6.99142352234869,6.87527307422048,6.69858556962197,7.62785824362871,7.89667141943962,7.72861973783028,6.63501799270103,6.80861024406092,6.64746258033741
"Pcsk9",9.13445876647397,9.35387436030436,9.12478406107865,10.1603904210284,10.6970579463431,10.7446837949606,9.53235874035255,9.48165786751555,9.31305931584227,10.1029014887753,10.5141669226803,10.3948744517234
"Akna",9.77613894337228,10.0077764135725,10.2920445805171,7.37284101298963,7.65898054981874,7.45974915152221,9.79721105387163,9.99930177463009,10.2340180602628,7.68942232495522,7.53694008606276,7.63339337007909
"D030025P21Rik",7.91076141600866,8.83289614822295,9.70164127754023,7.27279303413612,7.48367910205291,7.14157501786868,7.70568684954538,8.04389539337415,8.4868572386157,7.33738760272768,7.26658785171246,7.52869952229608
"Gm16551",6.65238371941696,7.10826304560041,6.79899092178841,8.47620721106608,8.17991845989521,8.24317791203091,7.03585830222728,7.34051842617932,7.0481058542526,8.64711906293606,8.32866178398557,8.03581406563683
"8030451A03Rik",6.83632830991603,6.84381562990874,7.42154423689422,5.67773075714143,5.70743213818098,5.66222024183081,6.17502462393698,6.58432459682464,6.70851631509203,5.72217806275464,5.3274716240353,5.5951042094935
"Ugt2b38",7.88128316555707,7.67934780025796,7.40259548738721,9.50125894916611,9.36451671517769,9.20527563715748,7.8377752581461,7.59710530765235,7.60133306009639,9.11167614401954,9.11381501540868,8.73408021041588
"Lrrc8c",12.4024173598216,12.5255289532362,12.5429915889177,8.9534704300523,8.84073945054935,9.18864667630464,12.2470971103123,12.404427714385,12.6139488330735,9.67851685983428,9.48495333391088,10.0994072069463
"Ugt2b34",9.68355799752021,10.016242579377,9.70256758428345,12.9611551504216,12.8901458709561,12.6326825542201,9.69653035283091,10.3808354546832,9.83437590942045,12.9927110186887,12.8803319268254,12.5908977665396
"Wtip",10.1891663712249,10.3155221076234,10.3172818745892,9.14295640917297,9.330624009423,9.27534857384493,10.2247381766008,10.2800623475111,10.4207875298793,9.64232536283728,9.7263290191645,9.83059921898698
