Probe Set Name	Description
100008567_at	predicted gene 14964
100009600_at	zinc finger, GATA-like protein 1
100009609_at	vomeronasal 2, receptor 65
100009614_at	predicted gene 10024
100012_at	oogenesin 3
100017_at	low density lipoprotein receptor adaptor protein 1
100019_at	midasin homolog (yeast)
100033459_at	pyrin domain containing 3
100034251_at	predicted gene 11428
100034748_at	RIKEN cDNA A930017K11 gene
100036520_at	predicted gene 14318
100036521_at	predicted gene 16039
100036523_at	predicted gene, 16982
100036537_at	predicted gene 11149
100036768_at	predicted gene 11696
100037258_at	DnaJ (Hsp40) homolog, subfamily C, member 3
100037260_at	RIKEN cDNA 9430060I03 gene
100037262_at	predicted gene 12359
100037278_at	family with sequence similarity 129, member C
100037396_at	RIKEN cDNA D030047H15 gene
100038347_at	family with sequence similarity 174, member B
100038349_at	predicted gene 10862
100038353_at	predicted gene 10532
100038356_at	predicted gene 15612
100038357_at	predicted gene 10856
100038358_at	predicted gene 10857
100038359_at	predicted gene 10685
100038361_at	predicted gene 10723
100038363_at	RIKEN cDNA F630028O10 gene
100038371_at	zinc finger protein 389
100038374_at	predicted gene 10714
100038376_at	predicted gene 10876
100038378_at	predicted gene 10433
100038380_at	predicted gene 10837
100038381_at	predicted gene 10647
100038382_at	predicted gene 10648
100038383_at	predicted gene 10650
100038384_at	predicted gene 10610
100038388_at	predicted gene 10614
100038391_at	predicted gene 10287
100038395_at	RIKEN cDNA 1700061E17 gene
100038398_at	predicted gene 10567
100038399_at	predicted gene 10579
100038410_at	predicted gene 10536
100038411_at	predicted gene 15998
100038412_at	predicted gene 10574
100038413_at	RIKEN cDNA D130050E23 gene
100038414_at	predicted gene 10735
100038416_at	predicted gene 10643
100038417_at	serine peptidase inhibitor, Kazal type 13
100038419_at	RIKEN cDNA gene, E330027M22Rik
100038420_at	predicted gene 10624
100038421_at	predicted gene 10733
100038424_at	predicted gene 10604
100038425_at	NA
100038429_at	predicted gene 10505
100038431_at	predicted gene 10568
100038433_at	RIKEN cDNA 9130213A22 gene
100038436_at	predicted gene 10503
100038439_at	predicted gene 10556
100038440_at	predicted gene 16508
100038452_at	predicted gene 13372
100038453_at	predicted gene 12522
100038454_at	predicted gene 13939
100038460_at	predicted gene 10677
100038464_at	predicted gene 15441
100038467_at	RIKEN cDNA A630072L19 gene
100038468_at	predicted gene 10684
100038470_at	predicted gene 10808
100038478_at	predicted gene 10616
100038479_at	predicted gene 10787
100038486_at	predicted gene 10742
100038487_at	predicted gene 10629
100038489_at	predicted gene 10664
100038493_at	predicted gene 13582
100038494_at	predicted gene 10782
100038496_at	predicted gene 10655
100038498_at	predicted gene 10447
100038504_at	predicted gene 10369
100038506_at	predicted gene 10873
100038508_at	predicted gene 10797
100038509_at	predicted gene 10544
100038513_at	predicted gene 14149
100038516_at	predicted gene 10640
100038522_at	predicted gene 10485
100038525_at	predicted gene 10804
100038526_at	predicted gene 10560
100038528_at	predicted gene 10851
100038529_at	predicted gene 10765
100038532_at	predicted gene 10822
100038537_at	predicted gene 16503
100038538_at	predicted gene 10767
100038541_at	predicted gene 10554
100038545_at	predicted gene 10745
100038546_at	predicted gene 10743
100038547_at	predicted gene 10815
100038548_at	predicted gene 10521
100038551_at	predicted gene 10757
100038554_at	predicted gene 15348
100038555_at	predicted gene 10578
100038556_at	predicted gene 10445
100038558_at	predicted gene 10752
100038560_at	predicted gene 10687
100038561_at	RIKEN cDNA B230104I21 gene
100038563_at	predicted gene 10295
100038566_at	predicted gene 10658
100038569_at	predicted gene 10558
100038570_at	predicted gene 11744
100038571_at	predicted gene 12863
100038573_at	predicted gene 10864
100038574_at	predicted gene 10415
100038575_at	predicted gene 10635
100038577_at	predicted gene 10790
100038582_at	predicted gene 10824
100038584_at	predicted gene 14812
100038587_at	predicted gene 10278
100038589_at	predicted gene 10744
100038590_at	predicted gene 10535
100038591_at	RIKEN cDNA F420014N23 gene
100038595_at	predicted gene 16287
100038596_at	predicted gene 10435
100038599_at	predicted gene 10710
100038600_at	predicted gene 11529
100038602_at	predicted gene 10865
100038605_at	RIKEN cDNA E030047D23 gene
100038606_at	predicted gene 10829
100038607_at	predicted gene 10636
100038608_at	predicted gene 10389
100038610_at	predicted gene 10747
100038614_at	predicted gene 10791
100038617_at	predicted gene 10466
100038618_at	predicted gene 10847
100038621_at	predicted gene 10839
100038623_at	predicted gene 10823
100038625_at	predicted gene 10846
100038627_at	RIKEN cDNA F630042J09 gene
100038628_at	predicted gene 10768
100038629_at	predicted gene 10463
